"gene","logP"
"0610007P14Rik",0.2
"0610009B22Rik",0.3
"0610009L18Rik",0
"0610009O20Rik",1
"0610010F05Rik",0.1
"0610010K14Rik",0.1
"0610012G03Rik",-0.3
"0610030E20Rik",0.1
"0610037L13Rik",0
"0610040J01Rik",-0.1
"1110002E22Rik",0.7
"1110004E09Rik",0.3
"1110004F10Rik",0.3
"1110008F13Rik",0.3
"1110008L16Rik",0
"1110008P14Rik",0.2
"1110012L19Rik",-0.2
"1110017D15Rik",0.1
"1110032A03Rik",0.4
"1110032F04Rik",-0.1
"1110034G24Rik",0.6
"1110037F02Rik",-0.2
"1110038F14Rik",0.1
"1110051M20Rik",-0.2
"1110059E24Rik",0
"1110059G10Rik",-0.2
"1110065P20Rik",0
"1190002N15Rik",0.4
"1190005I06Rik",0
"1190007I07Rik",-0.2
"1500009C09Rik",0.6
"1500009L16Rik",-0.1
"1500011B03Rik",0.1
"1500011K16Rik",-0.1
"1600002H07Rik",0.1
"1600002K03Rik",0.1
"1600012H06Rik",-0.5
"1600014C10Rik",0
"1700001C19Rik",0.4
"1700001K19Rik",-0.1
"1700001L19Rik",-0.2
"1700001O22Rik",-0.3
"1700003E16Rik",-0.4
"1700003F12Rik",0
"1700007K13Rik",-0.1
"1700008O03Rik",0.1
"1700010I14Rik",-0.5
"1700015E13Rik",-0.4
"1700016D06Rik",0.5
"1700017B05Rik",-0.2
"1700019B03Rik",0.2
"1700019D03Rik",0
"1700020D05Rik",-0.5
"1700020L24Rik",0
"1700021F05Rik",-0.1
"1700023F06Rik",-0.4
"1700024P16Rik",-0.6
"1700025G04Rik",-0.1
"1700028J19Rik",0.1
"1700028P14Rik",0.3
"1700029F12Rik",0.3
"1700029I15Rik",0.2
"1700029J07Rik",0.2
"1700029P11Rik",0.5
"1700030J22Rik",-0.2
"1700030K09Rik",0
"1700034I23Rik",0.3
"1700034J05Rik",-0.2
"1700037C18Rik",-0.3
"1700037H04Rik",0
"1700040L02Rik",0.1
"1700047I17Rik2",0
"1700048O20Rik",0.2
"1700057G04Rik",-0.1
"1700066B19Rik",0.4
"1700066M21Rik",0.1
"1700067K01Rik",-0.2
"1700088E04Rik",-0.1
"1700102P08Rik",0.8
"1700109H08Rik",-0.1
"1700112E06Rik",0
"1700123O20Rik",0.4
"1700128F08Rik",-0.9
"1810009A15Rik",0.7
"1810010H24Rik",0.3
"1810011O10Rik",1.1
"1810013L24Rik",0.1
"1810022K09Rik",0.6
"1810024B03Rik",-0.5
"1810026J23Rik",-0.3
"1810030O07Rik",0.1
"1810032O08Rik",0.2
"1810037I17Rik",0.1
"1810041L15Rik",0.1
"1810043G02Rik",0
"1810043H04Rik",-1.1
"1810049J17Rik",-1.3
"1810055G02Rik",-0.7
"2010107E04Rik",-1.1
"2010107G23Rik",-0.1
"2010109A12Rik",-0.1
"2010109I03Rik",0.4
"2010111I01Rik",-0.3
"2010300C02Rik",-1.4
"2010315B03Rik",0.1
"2200002D01Rik",0.4
"2210010C04Rik",-0.7
"2210013O21Rik",0.3
"2210016F16Rik",0
"2210016L21Rik",-0.1
"2210017I01Rik",0.1
"2210408I21Rik",0.8
"2210418O10Rik",0
"2300009A05Rik",0.6
"2310009B15Rik",0.2
"2310011J03Rik",0.2
"2310022A10Rik",0
"2310022B05Rik",2
"2310030G06Rik",0.1
"2310033P09Rik",-0.1
