"RNAseqID","Mouse","year","Genotype","jobnumber","Region","Group","Conflict","APA","Method","dodgy","daytime","Slice","Date"
"142C_CA1","15-142C",2015,"WT","JA16268","CA1","consistent","NoConflict","Trained","homogenized","ephys","norecord",4,"7/6/15"
"142C_DG","15-142C",2015,"WT","JA16268","DG","consistent","NoConflict","Trained","homogenized","ephys","norecord",1,"7/6/15"
"143A-CA3-1","15-143A",2015,"WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","slice","norecord",1,"7/9/15"
"143A-DG-1","15-143A",2015,"WT","JA16444","DG","conflict","Conflict","Trained","homogenized","slice","norecord",1,"7/9/15"
"143B-CA1-1","15-143B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","slice","norecord",1,"7/9/15"
"143B-DG-1","15-143B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","slice","norecord",1,"7/9/15"
"143C_CA1","15-143C",2015,"WT","JA16268","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord",2,"7/10/15"
"143C_DG","15-143C",2015,"WT","JA16268","DG","consistent","NoConflict","Trained","homogenized","allgood","norecord",1,"7/10/15"
"143C-CA1-1","15-143C",2015,"WT","JA16444","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord",1,"7/10/15"
"143D-CA1-3","15-143D",2015,"WT","JA16444","CA1","control","NoConflict","Yoked","homogenized","allgood","norecord",3,"7/10/15"
"143D-DG-3","15-143D",2015,"WT","JA16444","DG","control","NoConflict","Yoked","homogenized","allgood","norecord",3,"7/10/15"
"144A-CA1-2","15-144A",2015,"WT","JA16444","CA1","conflict","Conflict","Trained","homogenized","allgood","norecord",2,"7/15/15"
"144A-CA3-2","15-144A",2015,"WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","allgood","norecord",2,"7/15/15"
"144A-DG-2","15-144A",2015,"WT","JA16444","DG","conflict","Conflict","Trained","homogenized","allgood","norecord",2,"7/15/15"
"144B-CA1-1","15-144B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/15/15"
"144B-CA3-1","15-144B",2015,"WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/15/15"
"144C-CA1-2","15-144C",2015,"WT","JA16444","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord",2,"7/18/15"
"144C-CA3-2","15-144C",2015,"WT","JA16444","CA3","consistent","NoConflict","Trained","homogenized","allgood","norecord",2,"7/18/15"
"144C-DG-2","15-144C",2015,"WT","JA16444","DG","consistent","NoConflict","Trained","homogenized","allgood","norecord",2,"7/18/15"
"144D-CA3-2","15-144D",2015,"WT","JA16444","CA3","control","NoConflict","Yoked","homogenized","slice","norecord",2,"7/17/15"
"144D-DG-2","15-144D",2015,"WT","JA16444","DG","control","NoConflict","Yoked","homogenized","slice","norecord",2,"7/17/15"
"145A-CA1-2","15-145A",2015,"WT","JA16444","CA1","conflict","Conflict","Trained","homogenized","slice","norecord",2,"7/18/15"
"145A-CA3-2","15-145A",2015,"WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","slice","norecord",2,"7/18/15"
"145A-DG-2","15-145A",2015,"WT","JA16444","DG","conflict","Conflict","Trained","homogenized","slice","norecord",2,"7/18/15"
"145B-CA1-1","15-145B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/18/15"
"145B-DG-1","15-145B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/18/15"
"146A-CA1-2","15-146A",2015,"WT","JA16444","CA1","conflict","Conflict","Trained","homogenized","allgood","earlyAM",2,"7/23/15"
"146A-CA3-2","15-146A",2015,"WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","allgood","earlyAM",2,"7/23/15"
"146A-DG-2","15-146A",2015,"WT","JA16444","DG","conflict","Conflict","Trained","homogenized","allgood","earlyAM",2,"7/23/15"
"146B-CA1-2","15-146B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
"146B-CA3-2","15-146B",2015,"WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
"146B-DG-2","15-146B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
