"gene","logP"
"0610007P14Rik",-0.1
"0610009B22Rik",0.1
"0610009L18Rik",-0.2
"0610009O20Rik",0.8
"0610010F05Rik",-0.1
"0610010K14Rik",-0.3
"0610012G03Rik",-1.2
"0610030E20Rik",-0.1
"0610037L13Rik",-0.6
"0610040J01Rik",-0.2
"1110002E22Rik",0.1
"1110004E09Rik",0
"1110004F10Rik",-0.3
"1110008F13Rik",-0.9
"1110008L16Rik",0
"1110008P14Rik",-0.2
"1110012L19Rik",-1.3
"1110017D15Rik",0.2
"1110032A03Rik",-0.4
"1110032F04Rik",-0.1
"1110034G24Rik",-0.1
"1110037F02Rik",0
"1110038F14Rik",0
"1110051M20Rik",-0.4
"1110059E24Rik",-0.5
"1110059G10Rik",0.3
"1110065P20Rik",-0.2
"1190002N15Rik",3.7
"1190005I06Rik",-0.1
"1190007I07Rik",-0.1
"1300017J02Rik",-0.2
"1500009C09Rik",-0.8
"1500009L16Rik",-0.5
"1500011B03Rik",-0.4
"1500011K16Rik",-0.4
"1500015O10Rik",-0.1
"1520401A03Rik",-0.3
"1600002H07Rik",-1.9
"1600002K03Rik",0.6
"1600012H06Rik",-0.1
"1600014C10Rik",-0.1
"1700001C19Rik",0.1
"1700001K19Rik",-0.1
"1700001L19Rik",0
"1700001O22Rik",-0.6
"1700001P01Rik",-0.5
"1700003E16Rik",-0.3
"1700003F12Rik",-0.1
"1700006E09Rik",-0.1
"1700007K13Rik",-0.1
"1700008O03Rik",0
"1700010I14Rik",-0.2
"1700011E24Rik",-0.1
"1700011H14Rik",0
"1700011M02Rik",-0.3
"1700013D24Rik",-0.4
"1700013F07Rik",-0.4
"1700014D04Rik",-0.1
"1700015E13Rik",-0.2
"1700016D06Rik",-0.1
"1700016K19Rik",0.2
"1700017B05Rik",0.3
"1700019A02Rik",-0.1
"1700019B03Rik",0
"1700019D03Rik",-0.2
"1700019O17Rik",-0.2
"1700020A23Rik",0
"1700020D05Rik",-0.5
"1700020L24Rik",0
"1700020N01Rik",-0.1
"1700021F05Rik",0
"1700022I11Rik",-0.2
"1700023F06Rik",-0.2
"1700024P16Rik",0
"1700025G04Rik",0.5
"1700028J19Rik",0
"1700028K03Rik",-0.1
"1700028P14Rik",0.5
"1700029F12Rik",-0.2
"1700029H14Rik",-0.2
"1700029I15Rik",0.1
"1700029J07Rik",-0.5
"1700030J22Rik",-0.7
"1700030K09Rik",-1
"1700034I23Rik",-0.4
"1700034J05Rik",-0.1
"1700037C18Rik",-0.2
"1700037H04Rik",0
"1700040L02Rik",-0.2
"1700047I17Rik2",0
"1700048O20Rik",0.1
"1700061G19Rik",-0.4
"1700064H15Rik",-0.2
"1700066B19Rik",-0.4
"1700066M21Rik",0.1
"1700067K01Rik",-0.3
"1700088E04Rik",-0.2
"1700092M07Rik",-0.4
"1700093K21Rik",-0.3
"1700102P08Rik",-0.1
"1700109H08Rik",0
"1700112E06Rik",-0.1
"1700113H08Rik",-0.3
"1700123K08Rik",0
"1700123L14Rik",-0.2
"1700123O20Rik",0.1
"1700128F08Rik",-0.6
"1810009A15Rik",-0.1
"1810010H24Rik",0
"1810011H11Rik",0
"1810011O10Rik",0.1
"1810013L24Rik",0.4
"1810022K09Rik",-0.1
"1810024B03Rik",-0.2
"1810026J23Rik",0.1
"1810030O07Rik",-0.4
"1810032O08Rik",0.1
"1810037I17Rik",-0.5
"1810041L15Rik",0.4
"1810043G02Rik",0.1
"1810043H04Rik",-0.9
"1810049J17Rik",0.3
"1810055G02Rik",0.6
"2010005H15Rik",-0.1
"2010107E04Rik",-0.1
"2010107G23Rik",-0.3
"2010109A12Rik",-0.2
"2010109I03Rik",-1.1
"2010111I01Rik",0.5
"2010300C02Rik",0.6
"2010315B03Rik",0.4
"2200002D01Rik",0
"2210010C04Rik",0
"2210013O21Rik",-0.2
"2210016F16Rik",-0.7
"2210016L21Rik",-0.7
"2210017I01Rik",-0.2
"2210408I21Rik",0.8
"2210418O10Rik",0.9
"2300009A05Rik",0
"2310009B15Rik",0.1
"2310011J03Rik",-0.8
"2310022A10Rik",-0.4
"2310022B05Rik",0
"2310030G06Rik",0
"2310033P09Rik",-0.1
"2310035C23Rik",-0.6
"2310036O22Rik",-0.2
"2310039H08Rik",-0.4
"2310057J18Rik",-0.3
"2310057M21Rik",0.4
"2310061I04Rik",-0.1
"2410002F23Rik",-0.6
"2410004B18Rik",0
"2410004P03Rik",0.3
"2410015M20Rik",-0.3
"2410016O06Rik",0.5
"2410089E03Rik",-0.8
"2410131K14Rik",0.8
"2410141K09Rik",-0.1
"2510002D24Rik",-0.7
"2510009E07Rik",1.4
"2510039O18Rik",0.1
"2610001J05Rik",0
"2610002M06Rik",0.5
"2610008E11Rik",-0.5
"2610020H08Rik",0
"2610021A01Rik",-0.1
"2610042L04Rik",-0.1
"2610044O15Rik8",0
"2610301B20Rik",-0.2
"2610507B11Rik",0.3
"2610524H06Rik",-1.2
"2610528A11Rik",0
"2700049A03Rik",-0.1
"2700060E02Rik",0.1
"2700062C07Rik",-0.3
"2700081O15Rik",0
"2700094K13Rik",-0.2
"2700097O09Rik",-1.1
"2810004N23Rik",-0.3
"2810006K23Rik",0.2
"2810021J22Rik",0.2
"2810403A07Rik",-0.1
"2810417H13Rik",-0.3
"2810428I15Rik",-0.8
"2810459M11Rik",0.2
"2810474O19Rik",-0.4
"2900011O08Rik",-0.6
"2900026A02Rik",0.3
"2900055J20Rik",0.8
"3010026O09Rik",0.4
"3110001I22Rik",-0.2
"3110002H16Rik",-0.3
"3110009E18Rik",0
"3110018I06Rik",-0.1
"3110021N24Rik",0.4
"3110035E14Rik",-0.7
"3110040N11Rik",-0.4
"3110043O21Rik",-0.5
"3110062M04Rik",-0.1
"3110070M22Rik",0.4
"3110079O15Rik",0
"3110082I17Rik",0.7
"3110082J24Rik",-0.2
"3300002I08Rik",0
"3425401B19Rik",1
"3632451O06Rik",-0.4
"3830406C13Rik",0
"3830408C21Rik",-0.4
"4430402I18Rik",-0.2
"4833420G17Rik",-0.1
"4833423E24Rik",-0.2
"4833439L19Rik",0
"4921501E09Rik",-0.1
"4921507P07Rik",0.2
"4921509C19Rik",-0.1
"4921513D11Rik",0
"4921513I03Rik",-0.5
"4921524J17Rik",-0.4
"4921528I07Rik",-0.1
"4921530L21Rik",-0.1
"4921536K21Rik",0.3
"4922502D21Rik",0
"4930402H24Rik",-0.1
"4930404N11Rik",-1
"4930415O20Rik",-0.2
"4930426L09Rik",-0.1
"4930427A07Rik",-0.5
"4930430A15Rik",0
"4930430F08Rik",-1.2
"4930432K21Rik",-0.1
"4930442H23Rik",0
"4930444G20Rik",0
"4930444P10Rik",0.4
"4930447A16Rik",-0.2
"4930447C04Rik",0.1
"4930451G09Rik",-0.1
"4930451I11Rik",-0.3
"4930452B06Rik",0.5
"4930453N24Rik",-0.2
"4930455H04Rik",0
"4930467E23Rik",0
"4930470P17Rik",-0.3
"4930474N05Rik",0.3
"4930486L24Rik",-0.2
"4930502E18Rik",-0.1
"4930503L19Rik",0.1
"4930507D05Rik",-0.2
"4930512M02Rik",0.3
"4930518I15Rik",-0.3
"4930519G04Rik",-0.1
"4930522L14Rik",-1
"4930523C07Rik",-0.1
